Order_ID,Order_Date,Region,City,Category,Product,Quantity,Unit_Price,Payment_Mode,Customer_Type,Total_Sales
1001,"Thursday, March 28, 2024",East,Kolkata,Groceries,T-Shirt,2,2974,UPI,Returning,5948
1002,"Friday, September 13, 2024",South,Kolkata,Groceries,Laptop,7,9906,UPI,New,69342
1003,"Monday, March 11, 2024",South,Hyderabad,Groceries,Table,1,36961,Net Banking,New,36961
1004,"Thursday, July 18, 2024",South,Delhi,Furniture,Laptop,8,33189,UPI,New,265512
1005,"Saturday, February 3, 2024",South,Bangalore,Furniture,Chair,8,7213,Net Banking,Returning,57704
1006,"Tuesday, October 8, 2024",North,Chennai,Groceries,Table,2,35627,Net Banking,Returning,71254
1007,"Tuesday, June 18, 2024",South,Kolkata,Electronics,Chair,10,11534,UPI,New,115340
1008,"Monday, July 29, 2024",South,Chennai,Furniture,Rice,5,7037,Cash,Returning,35185
1009,"Sunday, March 24, 2024",South,Kolkata,Furniture,Oil,6,20786,Cash,New,124716
1010,"Tuesday, October 1, 2024",South,Hyderabad,Groceries,Jeans,8,17527,Net Banking,New,140216
1011,"Friday, December 20, 2024",East,Kolkata,Clothing,Rice,3,1055,Net Banking,Returning,3165
1012,"Sunday, November 3, 2024",North,Chennai,Clothing,T-Shirt,8,12613,Card,Returning,100904
1013,"Wednesday, August 14, 2024",East,Bangalore,Groceries,Phone,5,44279,Card,Returning,221395
1014,"Tuesday, April 16, 2024",North,Mumbai,Electronics,Rice,8,36345,UPI,Returning,290760
1015,"Sunday, May 26, 2024",North,Chennai,Furniture,Jeans,10,48343,Cash,New,483430
1016,"Saturday, December 7, 2024",East,Delhi,Electronics,Oil,2,6496,Net Banking,Returning,12992
1017,"Saturday, September 7, 2024",South,Kolkata,Electronics,Laptop,6,28522,Net Banking,Returning,171132
1018,"Sunday, April 28, 2024",South,Delhi,Electronics,Rice,9,23442,Card,Returning,210978
1019,"Thursday, March 7, 2024",South,Kolkata,Electronics,Laptop,7,40583,Cash,Returning,284081
1020,"Thursday, August 29, 2024",North,Mumbai,Furniture,Oil,5,37507,Net Banking,Returning,187535
1021,"Thursday, July 11, 2024",North,Delhi,Furniture,T-Shirt,6,22809,UPI,New,136854
1022,"Tuesday, April 9, 2024",South,Kolkata,Furniture,Chair,2,34746,Card,Returning,69492
1023,"Tuesday, December 3, 2024",East,Mumbai,Electronics,Table,9,49327,Card,Returning,443943
1024,"Tuesday, October 1, 2024",North,Hyderabad,Clothing,Rice,1,3100,UPI,New,3100
1025,"Friday, June 21, 2024",West,Delhi,Groceries,Chair,9,3368,UPI,Returning,30312
1026,"Sunday, July 28, 2024",East,Delhi,Groceries,Rice,7,35268,Net Banking,Returning,246876
1027,"Saturday, February 10, 2024",South,Mumbai,Clothing,T-Shirt,2,29683,Cash,New,59366
1028,"Monday, June 3, 2024",North,Delhi,Furniture,Jeans,9,1693,Net Banking,Returning,15237
1029,"Saturday, January 6, 2024",East,Mumbai,Groceries,Jeans,5,22102,Cash,New,110510
1030,"Sunday, June 9, 2024",West,Kolkata,Groceries,Table,3,37075,Cash,New,111225
1031,"Saturday, August 24, 2024",North,Bangalore,Electronics,Oil,2,36358,UPI,New,72716
1032,"Saturday, October 26, 2024",West,Kolkata,Clothing,Table,3,10894,UPI,New,32682
1033,"Sunday, March 10, 2024",West,Chennai,Furniture,Rice,8,36166,UPI,Returning,289328
1034,"Monday, January 15, 2024",North,Mumbai,Furniture,Rice,4,10555,Cash,New,42220
1035,"Tuesday, April 23, 2024",South,Chennai,Electronics,Rice,6,9876,UPI,Returning,59256
1036,"Saturday, January 27, 2024",South,Delhi,Furniture,Oil,1,709,Card,New,709
1037,"Tuesday, October 15, 2024",West,Kolkata,Groceries,Jeans,6,48391,Net Banking,New,290346
1038,"Saturday, May 11, 2024",North,Hyderabad,Electronics,Jeans,9,20123,Card,Returning,181107
1039,"Monday, May 27, 2024",East,Hyderabad,Furniture,Phone,2,39100,Card,Returning,78200
1040,"Wednesday, October 16, 2024",East,Kolkata,Electronics,Laptop,2,5984,Cash,Returning,11968
1041,"Monday, July 8, 2024",West,Kolkata,Groceries,T-Shirt,8,3894,Cash,New,31152
1042,"Wednesday, November 27, 2024",South,Chennai,Electronics,Jeans,2,5453,Net Banking,New,10906
1043,"Friday, March 1, 2024",South,Delhi,Electronics,Phone,1,26664,UPI,Returning,26664
